주이름,우편약자,브라질식 표기,영어식 표기
호라이마,RR,Roraima,Roraima
아마파,AP,Amapá,Amapa
아마조나스,AM,Amazonas,Amazonas
파라,PA,Pará,Para
토칸칭스,TO,Tocantins,Tocantins
아크리,AC,Acre,Acre
혼도니아,RO,Rondônia,Rondonia
마라냥,MA,Maranhão,Maranhao
피아우이,PI,Piauí,Piaui
세아라,CE,Ceará,Ceara
히우그란지두노르치,RN,Rio Grande do Norte,Rio Grande do Norte
파라이바,PB,Paraíba,Paraiba
페르남부쿠,PE,Pernambuco,Pernambuco
알라고아스,AL,Alagoas,Alagoas
세르지피,SE,Sergipe,Sergipe
바이아,BA,Bahia,Bahia
마투그로수,MT,Mato Grosso,Mato Grosso
고이아스,GO,Goias,Goias
연방구(브라질리아),DF,Distrito Federal (Brasília),Distrito Federal (Brasilia)
마투그로수두술,MS,Mato Grosso do Sul,Mato Grosso do Sul
미나스제라이스,MG,Minas Gerais,Minas Gerais
이스피리투산투,ES,Espírito Santo,Espirito Santo
리우데자네이루,RJ,Rio de Janeiro,Rio de Janeiro
상파울루,SP,São Paulo,Sao Paulo
파라나,PR,Paraná,Parana
산타카타리나,SC,Santa Catarina,Santa Catarina
히우그란지두술,RS,Rio Grande do Sul,Rio Grande do Sul
